mass,recclass,year,reclat,reclong
18000,L6,1853,37.316670,13.566670
480,L6,1947,9.600000,9.916670
152000,H4,1918,57.350000,37.616670
767,L6,1991,52.459720,-0.300000
1750,H5,1879,50.666670,16.766670
1600,H6,1865,24.233330,89.050000
9000,L6,1964,42.900000,2.250000
45.5,L5,1976,60.666670,11.000000
215,H5,2009,43.200000,-79.616670
10500,H5,1837,49.266670,18.716670
8000,L6,1881,46.350000,30.583330
1000,H4,1841,51.933330,15.500000
690,H5,1910,52.866670,16.633330
22000,H6,1932,-33.000000,-58.616670
2910,H5,1996,39.804170,122.763890
null,L6,1983,24.100000,105.000000
1900,L6,1980,37.100000,118.400000
39000,H6,1892,38.733330,-6.016670
288,L5,1972,13.500000,-0.683330
968,LL5,1949,9.916670,13.983330
2449,H5,1982,22.983330,76.050000
5700,H5,1904,42.900000,24.700000
28,L6,1814,13.783330,78.566670
8360,L6,1961,32.675000,-94.511670
680,L6,1859,38.250000,-86.166670
1110.5999999999999,H4,1910,35.294500,136.700330
3500,H5,1922,55.466670,13.783330
1000,H5,1857,10.000000,-84.100000
20000,H5,1869,59.850000,17.666670
750,H5,1897,33.600000,130.433330
4500,L6,1804,55.900000,-4.233330
414,H5,2003,34.450000,132.383330
167.7,H6,2003,1.345000,31.472780
305.5,L4,1954,64.433330,21.200000
230000,L5,1875,41.800000,-91.866670
2420,L5,1825,21.300000,-157.866670
180,L6,1956,35.666670,115.500000
1600,H5,2010,26.464690,106.632410
112,H6,1877,50.300000,8.916670
3973,H6,1936,58.200000,82.933330
3457,H5,1956,-32.100000,28.333330
1200,H5,1977,-23.200000,-51.833330
7330,H6,1975,-6.033330,145.366670
880,L6,1917,39.083330,-94.400000
3000,L6,1963,41.000000,112.000000
4576,L5,1977,53.415000,-111.337500
7000,H6,1972,-25.500000,-54.500000
3050,H5,1928,-31.183330,-57.950000
2024,H5,1879,-3.400000,-44.333330
48000,L6,1903,-32.500000,21.900000
22,H6,1866,18.750000,75.333330
20500,L6,1979,39.700000,105.800000
34000,LL6,1889,43.833330,20.441670
450,L6,1901,null,null
3667,L6,2009,46.421370,14.052170
5900,L5,1873,31.300000,72.383330
222,H5,1964,31.916670,104.916670
4000000,H5,1976,44.050000,126.166670
100,L5,2006,22.680000,70.313330
483,LL6,1974,-11.850000,15.833330
100000,H5,1997,35.500000,115.416670
680,H6,1876,12.850000,76.800000
32490,L6,1984,-7.716670,111.200000
950,L6,1976,35.200000,118.800000
13400,H4,1971,11.850000,8.216670
89,H6,1822,27.083330,78.333330
230,H5,1838,27.250000,79.966670
1900,L6,1908,49.866670,30.833330
577,L6,1858,45.133330,21.666670
950,H4,1951,-6.833330,29.500000
4500,L6,1879,17.833330,73.983330
2770,L6,1942,26.033330,81.466670
448,H5,1913,36.041670,139.956670
1293,L6,1902,14.183330,75.800000
299,L6,1959,31.600000,65.783330
1630,H5,1908,-7.000000,115.500000
400,H5,1897,32.083330,76.300000
3500,L6,1937,42.450000,73.366670
3000,LL6,1840,47.216670,81.016670
2220,LL6,1963,-3.500000,35.583330
180,L6,1949,12.900000,7.150000
22000,L6,1905,27.800000,67.166670
2950,L6,1955,31.583330,71.600000
16820,H4,2003,29.583330,77.583330
1500,L6,1999,11.333330,10.083330
3300,L4,1940,-7.750000,112.016670
5760,L4,2008,36.541940,29.418220
6937,L4,1939,29.450000,-96.000000
5000,H5,1874,48.400000,-3.300000
80000,H6,1869,48.116670,-3.083330
135000,H4,1850,38.983330,141.616670
3698,LL5,1932,25.550000,83.116670
1500,L6,1787,50.625000,35.075000
450,L6,1860,26.950000,77.883330
100,H6,1867,28.016670,75.816670
6109,L5,1929,56.750000,75.333330
100000,H6,1983,14.000000,28.000000
737.6,L6,1962,54.400000,10.150000
1500,H5,1970,16.583330,-11.333330
195,H6,1809,55.000000,34.000000
19000,LL6,2002,12.766670,9.800000
772,H5,1911,43.583330,-89.600000
140,H6,1844,54.666670,-7.666670
67.400000000000006,H6,1967,11.633330,24.683330
1550,L6,1914,48.166670,22.308330
202.6,L6,1998,43.383330,-80.383330
3250,H6,1843,51.600000,10.800000
11510,L6,1986,34.300000,133.950000
90,LL5,1931,42.516670,26.166670
4300,H5,2010,48.763670,21.176330
16500,LL5,1869,49.326940,7.464720
2440,L6,1829,54.033330,40.900000
4000,H5,1946,54.333330,56.083330
2250,L6,1938,51.150000,31.700000
453.6,L5,1961,30.731110,66.802220
6000,L6,1811,50.750000,33.500000
3719,H6,1906,41.116670,45.000000
200000,L6,1949,55.783330,61.366670
1100000,H5,1998,42.250000,59.200000
5,L6,1860,29.683330,78.383330
23,H5,1977,44.516670,39.300000
45000,L6,1914,10.833330,76.033330
4047,L6,1932,55.200000,75.333330
45000,L6,1886,32.033330,130.633330
2800,L6,1879,47.083330,1.750000
2000,H5,1924,-37.333330,-61.533330
45000,L6,1985,-31.233330,-58.166670
3833,H5,1871,44.283330,5.583330
37000,L6,1803,48.766670,0.633330
372,L6,1887,24.450000,78.566670
7000,H6,1897,43.750000,5.116670
2300,L6,1947,58.850000,16.733330
1282,L6,1986,46.241670,126.196110
7000,L4,1925,47.750000,16.233330
14250,H5,1987,33.133330,115.166670
1060,L6,1830,51.900000,-1.116670
800,L6,1938,52.450000,51.566670
3000,H5,1845,47.166670,0.433330
51500,L6,1943,35.883330,-99.333330
460,L6,1912,-25.666670,28.366670
271.39999999999998,L6,1999,52.666670,-6.966670
877,H5,1907,34.583330,-87.500000
700,L6,1900,52.266670,32.850000
125,L6,1857,48.350000,3.250000
2000,L6,1896,50.366670,4.733330
4000,H6,1973,-26.150000,26.183330
6862,H5,1930,56.650000,15.866670
50000,H5,1813,52.566670,-8.783330
1862,L6,1854,52.750000,12.900000
498,L5,1978,31.633330,118.983330
12800,L6,1808,50.200000,14.850000
491,L5,1839,37.916670,-92.083330
5213,H4,1820,56.000000,26.433330
329.7,L6,2010,38.700660,-77.211630
25,L6,1894,38.000000,-0.833330
17000,H5,1970,36.008330,-95.150000
1300,L6,1977,38.250000,-85.750000
9241,L5,1926,24.950000,75.150000
3500,L6,1768,47.850000,0.483330
340,L6,1869,32.033330,-84.766670
2520,H6,1980,24.800000,103.300000
11000,L6,1889,56.216670,13.033330
540,L5,1937,19.000000,97.000000
1500,H5,1836,-5.200000,-36.666670
93200,L6,1981,-15.212220,35.242220
400,L6,1935,-7.750000,111.533330
400,L6,1896,40.416670,-3.716670
2000,L5,1970,9.500000,31.750000
null,H5,1931,-28.933330,-63.233330
1000,L6,1927,45.216670,62.083330
1700,LL6,1863,23.050000,86.700000
22300,LL6,1934,-17.650000,31.600000
4500,H5,1948,34.233330,72.083330
114,L4,1925,null,null
3200,H6,1941,4.666670,29.250000
2500,H4,1971,-22.250000,-49.933330
28400,L6,1847,41.900000,-91.600000
3000,L5,1848,44.500000,0.150000
6000,L6,2002,-14.200000,48.100000
1443,L6,1983,35.800000,-84.100000
1000,L6,1836,45.366670,1.866670
24.54,H5,2010,0.000000,0.000000
19000,L6,1768,48.183330,13.133330
220,L6,1801,-20.000000,57.000000
4975,L6,1942,-1.216670,30.000000
22,H5,1861,29.016670,77.800000
24750,H5,1915,-6.233330,106.883330
10500,H4,1862,53.183330,13.150000
28.9,L5,1903,46.818670,7.218170
4000,L6,1878,55.050000,12.066670
6000,LL6,1945,0.000000,37.666670
71400,H5,1920,25.483330,81.983330
2405,L5,1955,38.183330,15.566670
870,L6,1897,50.583330,11.100000
1300,L6,1949,45.766670,3.250000
350,L6,1827,25.900000,83.616670
1100,H5,1980,34.800000,111.700000
1600,L6,1881,54.566670,-1.166670
3584,L5,2010,42.907500,-90.365560
6380,L6,1992,35.568330,133.220000
224.2,L6,1944,46.233330,17.533330
10000,L6,1842,46.183330,16.100000
16700,H5,1930,35.400000,-92.050000
5500,LL6,1952,32.333330,120.666670
8510,L5,1910,25.683330,83.250000
5800,H5,1890,56.666670,23.000000
35000,L6,1905,38.500000,-101.100000
144000,H5,1858,38.116670,-1.166670
2587,H5,1998,31.608330,-102.858330
8600,H4,1849,35.250000,-80.500000
4885,L5,1950,38.016670,-8.250000
3130,L5,1846,43.266670,13.350000
149000,H5,1923,43.390560,1.962500
500,L6,1838,47.633330,1.583330
null,L6,1950,-15.966670,27.350000
3520,H5,1810,52.450000,-8.333330
8887.5,L6,1930,-40.975000,145.600000
70,L6,1808,28.783330,78.833330
