continent,total_cases
Europe,136598
Europe,137075
Europe,137597
Europe,138132
Europe,138790
Europe,139324
Europe,139721
Europe,140521
Europe,141365
Europe,142253
Europe,143174
Europe,144079
Europe,144847
Europe,145333
Europe,146387
Europe,147369
Europe,148222
Europe,149117
Europe,150101
Europe,150997
Europe,151499
Europe,152239
Europe,153318
Europe,154316
Europe,155293
Europe,156162
Europe,157026
Europe,157436
Europe,158431
Europe,159423
Europe,160365
Europe,161324
Europe,162173
Europe,162953
Europe,163404
Europe,164276
Europe,165096
Europe,165864
Europe,166690
Europe,167354
Europe,167893
Europe,168188
Europe,168782
Europe,169462
Europe,170131
Europe,170778
Europe,171327
Europe,171794
Europe,171794
Europe,172618
Europe,173190
Europe,173723
Europe,174168
Europe,174643
Europe,174968
Europe,175163
Europe,175664
Europe,176172
Europe,176667
Europe,177108
Europe,177536
Europe,177971
Europe,178188
Europe,178804
Europe,179463
Europe,180029
Europe,180623
Europe,181252
Europe,181696
Europe,181960
Europe,182610
Europe,183282
Europe,183873
Europe,184340
Europe,184887
Europe,185300
Europe,185497
Europe,186222
Europe,186793
Europe,187363
Europe,187994
Europe,187994
Europe,189125
Europe,189355
Europe,190125
Europe,190815
Europe,191440
Europe,192013
Europe,192600
Europe,193075
Europe,193269
Europe,193856
Europe,194472
Europe,195021
Europe,195523
Europe,195988
Europe,195988
Europe,196611
Europe,197167
Europe,197776
Europe,198292
Europe,198732
Europe,199137
Europe,199555
Europe,199750
Europe,199945
Europe,200173
Europe,200639
Europe,201045
Europe,201402
Europe,201730
Europe,201902
Europe,202295
Europe,202641
Europe,202863
Europe,203215
Europe,203524
Europe,203787
Europe,203925
Europe,204301
Europe,204627
Europe,204928
Europe,205224
Europe,205549
Europe,205777
Europe,205897
Europe,206273
Europe,206616
Europe,206935
Europe,207221
Europe,207542
Europe,207709
Europe,207709
Europe,208352
Europe,208899
Europe,208899
Europe,210224
Europe,210224
Europe,210885
Europe,210885
Europe,212021
Europe,212021
Europe,213257
Europe,214905
Europe,214905
Europe,219694
Europe,220487
Europe,222664
Europe,224569
Europe,226598
Europe,228777
Europe,230940
Europe,232637
Europe,233654
Europe,236486
Europe,239129
Europe,241512
Europe,244182
Europe,246412
Europe,248070
Europe,248070
Europe,248859
Europe,251015
Europe,252577
Europe,254126
Europe,254126
Europe,255741
Europe,258543
Europe,258543
Europe,261240
Europe,261240
Europe,263172
Europe,263172
Europe,264624
Europe,264875
Europe,265716
Europe,266416
Europe,267020
Europe,267020
Europe,267551
Europe,268008
Europe,268304
Europe,268491
Europe,268940
Europe,269301
Europe,269601
Europe,269904
Europe,270164
Europe,270370
Europe,270455
Europe,270734
Europe,270947
Europe,271141
Europe,271141
Europe,271527
Europe,271563
Europe,271702
Europe,271825
Europe,271825
Europe,272030
Europe,272030
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,1
Africa,3
Africa,5
Africa,12
Africa,12
Africa,17
Africa,17
Africa,19
Africa,20
Africa,20
Africa,20
Africa,24
Africa,26
Africa,37
Africa,48
Africa,54
